COMPANY	CITY	STATE	FORTUNE	FORBES	AMLAW	CEI_2006
Bank of New York Co.	New York	NY	278.0	_	_	85.0
Barclays Capital	New York	NY	_	_	_	90.0
Barnes & Noble Inc.	New York	NY	422.0	_	_	60.0
Bausch & Lomb Inc.	Rochester	NY	_	_	_	100.0
Baxter International Inc.	Deerfield	IL	240.0	_	_	73.0
Bayer Corp.	Pittsburgh	PA	_			_
BellSouth Corp.	Atlanta	GA	106.0	_	_	100.0
Ben and Jerry's Homemade Inc.	South Burlington	VT	_	_	_	50.0
Best Buy Co. Inc.	Richfield	MN	76.0	_	_	100.0
Bingham McCutchen	Boston	MA			26.0	80.0
Biovail Pharmaceuticals Inc.	Bridgewater	NJ	_	_	_	40.0
Blockbuster Inc.	Dallas	TX	366.0	_	_	60.0
Boeing Co.	Chicago	IL	26.0	_	_	100.0
Booz Allen Hamilton Inc.	McLean	VA		66.0	_	80.0
Borders Group Inc.	Ann Arbor	MI	490.0	_	_	95.0
Bridgestone Americas Holding Inc.	Nashville	TN	_	_	_	45.0
Bright Horizons Family	_	_	_	_	_	_
Brinker International Inc.	Dallas	TX	504.0	_	_	85.0
Bristol-Myers Squibb Co.	New York	NY	110.0	_	_	100.0
Bryan Cave LLP	St. Louis	MO			55.0	75.0
C&S Wholesale Grocers Inc.	Keene	NH		8.0	_	40.0
CBRL Group Inc.	Lebanon	TN	_	676	_	15.0
CDW Corporation	Vernon Hills	IL	_	343	_	58.0
CH2M HILL Companies, Ltd.	Englewood	CO	_	591	88.0	80.0
CIGNA Corp.	Philadelphia	PA	_	130	_	100.0
CMP Media LLC	Manhasset	NY	_	_	_	100.0
CNA Insurance	Chicago	IL	_	_	_	100.0
CSX Corp. 	Jacksonville	FL	266.0	_	_	40.0
CUNA Mutual Insuranceity Group 	Madison	WI	644.0	_	_	65.0
Cadwalader, Wickersham & Taft	New York	_	_	46	95
California State Automobile Association	San Francisco	CA	_	_	_	100.0
Calpine Corp.	San Jose	CA	_	275	_	63.0
Campbell Soup Co.	Camden	NJ	_	302	_	80.0
Capital One Financial Corp.	McLean	VA	_	187	_	100.0
Caremark RX	Nashville	TN	_	60	_	55.0
Cargill Inc.	Wayzata	MN	_		1.0	100.0
Carlson Companies Inc.	Minnetonka	MN	_	_82.0	100
Caterpillar Inc.	Peoria	IL	_	55	_	35.0
Cendant Corp.	New York	NY	_	114	_	75.0
Cerner Corp.	Kansas City	MO	_	_	_	45.0
Chamberlin Edmonds & Associates Inc	Atlanta	GA	_	_	_	68.0
Charles Schwab Corp., The	San Francisco	CA	_	418	_	100.0
Chevron Corp.	San Ramon	CA	_	4	_	100.0
ChoicePoint Inc.	Alpharetta	GA	_	_	_	100.0
Chubb Corp.	Warren	NJ	_	156	_	100.0
Cingular Wireless	Atlanta	GA	_	_	_	85.0
Circuit City Stores Inc.	Richmond	VA	_	226	_	55.0
Cisco Systems Inc.	San Jose	CA	_	83	_	100.0
Citigroup Inc.	New York	NY	_	8	_	100.0
Clear Channel Communications Inc.	San Antonio	TX	_	252	_	100.0
Clorox Company	Oakland	CA	_	460	_	100.0
Coca-Cola Company	Atlanta	GA	_	89	_	100.0
Coca-Cola Enterprises	Atlanta	GA	_	120	_	65.0
Colgate-Palmolive Co.	New York	NY	_	204	_	78.0
Comcast Corp.	Philadelphia	PA	_	94	_	85.0
Comerica Inc.	Detroit	MI	_	524	_	80.0
Compass Group North America	Charlotte	NC	_	_	_	65.0
ConocoPhillips	Houston	TX	_	6	_	78.0
Consolidated Edison Co.	New York	NY	_	199	_	100.0
Continental Airlines	Houston	TX	_	207	_	75.0
Cooper Tire & Rubber	Findlay	OH	_	770	_	33.0
Coors Brewing Company	Golden	CO	_	373	_	100.0
Corbis Corporation	Seattle	WA	_	_	_	65.0
Corning Inc.	Corning	NY	_	456	_	100.0
Costco Wholesale Corp.	Issaquah	WA	28.0	_	_	93.0
Countrywide Financial Corp. 	Calabasas	CA	122.0	_	_	80.0
Cox Communications Inc.	Atlanta	GA	316.0	_	_	95.0
Credit Suisse Securities (USA) LLC	New York	NY	_	_	_	100.0
Credit Suisse Securities (USA) LLC 	New York	NY	_	_	_	100.0
Cummins Inc. 	Columbus	IN	238.0	_	_	100.0
DPR Construction	Redwood City	CA	_	_	_	50.0
DTE Energy Co.	Detroit	MI	259.0	_	_	80.0
DaimlerChrysler Corp. 	Auburn Hills	MI	_	_	_	100.0
Dana Corp.	Toledo	OH	_	_	234.0	35.0
Dana Corp. 	Toledo	OH	234.0	_	_	35.0
Darden Restaurants	Orlando	FL	_	409.0	_	80.0
Darden Restaurants 	Orlando	FL	409.0	_	_	80.0
Dean Foods Co. 	Dallas	TX	216.0	_	_	73.0
Deere & Co.	Moline	IL	_	_	96.0	48.0
Deere & Co. 	Moline	IL	96.0	_	_	48.0
Dell Inc. 	Round Rock	TX	25.0	_	_	100.0
Deloitte & Touche USA LLP 	New York	NY	_	_	_	100.0
Delphi Corp.	Troy	MI	_	_	77.0	60.0
Delphi Corp. 	Troy	MI	77.0	_	_	60.0
Delta Air Lines Inc. 	Atlanta	GA	135.0	_	_	85.0
Deluxe Corp. 	Shoreview	MN	873.0	_	_	60.0
Deutsche Bank 	New York	NY	_	_	_	100.0
Dole Food Co. Inc. 	Westlake Village	CA	365.0	_	_	60.0
Dominion Resources Inc. 	Richmond	VA	123.0	_	_	95.0
Domino's Pizza Inc. 	Ann Arbor	MI	966.0	_	_	45.0
Donna Karan	New York	NY	_	_	_	45.0
Dorsey & Whitney 	Minneapolis	MN	_	_	65.0	100.0
Dow Chemical Co. 	Midland	MI	36.0	_	_	100.0
Dow Jones & Co. Inc.	New York	NY	867.0	_	_	30.0
DuPont (E. I. du Pont de Nemours)	Wilmington	DE	73.0	_	_	100.0
Duke Energy Corp.	Charlotte	NC	117.0	_	_	65.0
E*TRADE Financial Corporation	New York	NY	_	_	679.0	73.0
E*TRADE Financial Corporation 	New York	NY	679.0	_	_	73.0
EMC Corp. 	Hopkinton	MA	249.0	_	_	45.0
EarthLink Inc.	Atlanta	GA	_	_	_	63.0
EarthLink Inc. 	Atlanta	GA	_	_	_	63.0
Eastman Kodak Co. 	Rochester	NY	155.0	_	_	100.0
Edison International	Rosemead	CA	_	_	194.0	35.0
Edison International 	Rosemead	CA	194.0	_	_	35.0
Electronic Arts Inc. 	Redwood City	CA	594.0	_	_	88.0
Electronic Data Systems Corp.	Plano	TX	_	_	108.0	70.0
Electronic Data Systems Corp. 	Plano	TX	108.0	_	_	70.0
Eli Lilly & Co.	Indianapolis	IN	_	_	148.0	100.0
Eli Lilly & Co. 	Indianapolis	IN	148.0	_	_	100.0
Emerson Electric Co.	St. Louis	MO	_	_	126.0	45.0
Emerson Electric Co. 	St. Louis	MO	126.0	_	_	45.0
Entergy Corp. 	New Orleans	LA	218.0	_	_	13.0
Ernst & Young LLP 	New York	NY		7.0	_	100.0
Estee Lauder Companies	New York	NY	_	340.0	_	100.0
Estee Lauder Companies 	New York		NY	_		340.0
Exelon Corp.	Chicago	IL	_	144	_	80.0
Exxon Mobil Corp.	Irving	TX	_	_	_	1.0
Faegre & Benson	Minneapolis	MN	_		99.0	100.0
Fannie Mae	Washington	DC	_	_	_	100.0
FedEx Corp.	Memphis	TN	_	70	_	55.0
Federated Department Stores	Cincinnati	OH	_	87	_	80.0
Fifth Third Bancorp	Cincinnati	OH	_	308	_	65.0
Fish & Richardson	Boston	MA	_		87.0	75.0
Fisher Scientific International	Hampton	NH	_	389	_	40.0
Foley & Lardner	Milwaukee	WI	_		28.0	95.0
Foley Hoag LLP	Boston	MA	_	_	_	80.0
Food Lion, LLC	Salisbury	NC	_	_	_	75.0
Ford Motor Co.	Dearborn	MI	_	5	_	100.0
Franklin Templeton Investments	San Mateo	CA	_	_	_	60.0
Freddie Mac	McLean	VA	_	_	_	85.0
Freescale Semiconductor Inc.	Austin	TX	_	368	_	100.0
Fulbright & Jaworski LLP	Houston	TX	_		32.0	85.0
Gallup Organization	Washington	DC	_	_	_	30.0
GameStop Corp.	Grapevine	TX	_	601	_	63.0
Gannett Co. Inc.	McLean	VA	_	296	_	80.0
Gap Inc.	San Francisco	CA	_	139	_	100.0
Gateway Inc.	Irvine	CA	_	508	_	65.0
Genentech Inc.	S. San Francisco	CA	_	_	_	80.0
General Dynamics Corp.	Falls Church	VA	_	100	_	55.0
General Electric Co.	Fairfield	CT	_	7	_	75.0
General Mills Inc.	Minneapolis	MN	_	206	_	100.0
General Motors Corp.	Detroit	MI	_	3	_	100.0
Genuine Parts Co.	Atlanta	GA	_	_	_	245.0
Giant Food LLC	Quincy	MA	_	_	_	78.0
GlaxoSmithKline plc	Philadelphia	PA	_	_	_	100.0
Global Hyatt Corp.	Chicago	IL	_		89.0	100.0
Golden West Financial Corp.	Oakland	CA	_	326	_	40.0
Goldman Sachs Group Inc., The	New York	NY	_	41	_	100.0
Google Inc.	Mountain View	CA	_	_	353.0	100.0
Guidant Corp.	Indianapolis	IN	_	535	_	80.0
H. E. Butt Grocery Co.	San Antonio	TX	_		11.0	40.0
H. J. Heinz Co.	Pittsburgh	PA	262	_	_	15.0
HSBC USA Inc.	Prospect Heights	IL	_	_	_	95.0
Hain Celestial Group Inc.	Melville	NY	_	_	_	30.0
Hallmark Cards Inc.	Kansas City	MO	_		41.0	75.0
Hannaford Brothers	Portland	ME	_	_	_	65.0
Harrah's Entertainment Inc.	Las Vegas	NV	_	309	_	95.0
Harris Bankcorp Inc.	Chicago	IL	_	_	_	75.0
Harry & David Holdings Inc.	Medford	OR	_	_	_	58.0
Hartford Financial Services Co.	Hartford	CT	_	78	_	75.0
Harvard Pilgrim Health Care Inc.	Wellesley	MA	_	_	_	100.0
Hasbro Inc.	Pawtucket	RI	_	602.0	_	65.0
Health Net Inc.	Woodland Hills	CA	_	191.0	_	93.0
Heller Ehrman LLP	San Francisco	CA	_		35.0	100.0
Hershey Company, The	Hershey	PA	_	442.0	_	50.0
Hewitt Associates	Lincolnshire	IL	_	633.0	_	100.0
Hewlett-Packard Co.	Palo Alto	CA	_	11.0	_	100.0
Hilton Hotels Corp.	Beverly Hills	CA	_	464.0	_	95.0
Hoffmann-La Roche Inc.	Nutley	NJ	_	_	_	80.0
Holland & Knight LLP	New York	NY	_		27.0	75.0
Home Depot Inc.	Atlanta	GA	_	14.0	_	85.0
Honeywell International Inc.	Morristown	NJ	_	71.0	_	100.0
Hospira Inc.	Lake Forest	IL	_	660.0	_	100.0
Host Hotels & Resorts	Bethesda	MD	_	502.0	_	45.0
Hotels.com, L.P.	Dallas	TX	_	_	_	85.0
Howard & Howard Attorneys PC	Kalamazoo	MI	_	_	_	48.0
Humana Inc.	Louisville	KY	_	150.0	_	40.0
ING North America Insurance Corp.	Atlanta	GA	_	_	_	100.0
ITT Industries Inc.	White Plains	NY	_	291.0	_	95.0
Illinois Tool Works Inc.	Glenview	IL	_	173.0	_	53.0
Imation Corp.	Oakdale	MN	_	_	_	93.0
Industry Average			_	_	_	70.0
Intel Corp.	Santa Clara	CA	49.0	_	_	100.0
International Business Machines Corp.	Armonk	NY	_	10.0	_	100.0
International Paper Co.	Stamford	CT	_	82.0	_	85.0
Interpublic Group of Companies Inc.	New York	NY	_	348.0	_	75.0
Intuit Inc.	Mountain View	CA	_	779.0	_	100.0
J. C. Penney Company Inc.	Plano	TX	_	118.0	_	50.0
J.P. Morgan Chase & Co.	New York	NY	_	17.0	_	100.0
Jenner & Block LLP	Chicago	IL	_		74.0	100.0
John Hancock Financial Services Inc.	Boston	MA	_	_	_	93.0
Johnson & Johnson	New Brunswick	NJ	_	32.0	_	100.0
KB Home	Los Angeles	CA	_	_	_	254.0
KLA-Tencor	San Jose	CA	780	_	_	73.0
KPMG LLP	New York	NY	_	_	_	100.0
Kaiser Permanente	Oakland	CA	_	_	_	100.0
Keane Inc.	Boston	MA	_	_	_	50.0
Kellogg Co.	Battle Creek	MI	_	233.0	_	50.0
KeyCorp	Cleveland	OH	_	325.0	_	75.0
Keyspan Corp	Brooklyn	NY	_	295.0	_	100.0
Kilpatrick Stockton LLP	Atlanta	GA	_		80.0	63.0
Kimberly-Clark Corporation	Irving	TX	_	140.0	_	85.0
Kimpton Hotel & Restaurant Group, Inc.	San Francisco	CA	_	_	_	100.0
Kraft Foods Inc.	Northfield	IL	_	_	_	100.0
Kroger Co., The	Cincinnati	OH	21	_	_	35.0
L.L. Bean Inc.	Freeport	ME	_	_	_	73.0
Land O'Lakes	Arden Hills	MN	301	_	_	53.0
Lauren Manufacturing Co.	New Philadelphia	OH	_	_	_	5.0
Lear Corp.	Southfield	MI	127	_	_	20.0
Lehman Brothers Holdings	New York	NY	62	_	_	100.0
Levi Strauss & Co.	San Francisco	CA	484	44.0	_	100.0
Lexmark International Inc.	Lexington	KY	415	_	_	100.0
Lillian Vernon Corp.	White Plains	NY	_	_	_	55.0
Limited Brands Inc.	Columbus	OH	246	_	_	70.0
Lincoln National Corp.	Philadelphia	PA	396	_	_	95.0
Liz Claiborne Inc.	North Bergen	NJ	440	_	_	100.0
Lockheed Martin Corp.	Bethesda	MD	52	_	_	80.0
Lucent Technologies Inc.	Murray Hill	NJ	255	_	_	100.0
MGM Mirage	Las Vegas	NV	334	_	_	85.0
Marriott International	Washington	DC	203	_	_	75.0
Marsh & McLennan Companies Inc.	New York	NY	186	_	_	30.0
Massachusetts Mutual Life Insurance Company	Springfield	MA	92	_	_	93.0
MasterCard Inc.	Purchase	NY	627	_	_	80.0
Mattel Inc.	El Segundo	CA	416	_	_	88.0
McDermott Will & Emery LLP	Chicago	IL			13.0	100.0
McDonald's Corp.	Oak Brook	IL	109	_	_	85.0
McGraw-Hill Companies Inc., The	New York	NY	359	_	_	75.0
McKinsey & Co. Inc.	New York	NY		72.0	_	100.0
MeadWestvaco Corp.	Stamford	CT	322	_	_	80.0
Medtronic Inc.	Minneapolis	MN	235	_	_	75.0
Meijer	Grand Rapids	MI		10.0	_	0.0
Mellon Financial Corp.	Pittsburgh	PA	377	_	_	100.0
Men's Wearhouse Inc., The	Houston	TX	887	_	_	35.0
Merck & Co. Inc.	Whitehouse Station	NJ	95	_	_	100.0
Merrill Lynch & Co.	New York	NY	34	_	_	100.0
MetLife Inc.	New York	NY	35	_	_	100.0
Microsoft Corp.	Redmond	WA	48	_	_	100.0
Miller Brewing Co.	Milwaukee	WI	_	_	_	90.0
Mintz, Levin, Cohn, Ferris, Glovsky & Popeo	Boston	MA			91.0	95.0
Mirant Corporation	Atlanta	GA	479	_	_	45.0
Mitchell Gold + Bob Williams	Taylorsville	NC	_	_	_	100.0
Mohawk Industries Inc.	Calhoun	GA	_	_	327.0	65.0
Morgan Stanley	New York	NY	30	_	_	100.0
Morningstar Inc.	Chicago	IL	_	_	_	40.0
Motorola Inc.	Schaumburg	IL	_	_	54.0	100.0
National City Corporation	Cleveland	OH	213.0	_	_	58.0
National Grid USA	Westborough	MA	_	_	_	75.0
Navistar International Corp.	Warrenville	IL	_	_	201.0	30.0
Nestle Purina PetCare Co.	St. Louis	MO	_	_		15.0
New York Times Co.	New York	NY	557	_	_	100.0
Newell Rubbermaid Inc.	Atlanta	GA	_	_	_	332.0
Nissan North America	Gardena	CA	_	_	_	15.0
Nokia	Irving	TX	_	_	_	50.0
Northeast Utilities System	Berlin	CT	304	_	_	 80
Northern Trust Corp.	Chicago	IL	533	_	_	95.0
Novartis Pharmaceutical Corp.	East Hanover	NJ	_	_	_	95.0
Office Depot Inc.	Delray Beach	FL	_	154.0	_	60.0
Owens & Minor	Mechanicsville	VA	443	_	_	70.0
Owens Corning	Toledo	OH	341.0	_	_	100.0
PG&E Corp.	San Francisco	CA	200	_	_	100.0
PNC Financial Services Group Inc.	Pittsburgh	PA	290.0	_	_	73.0
PNM Resources Inc.	Albuquerque	NM	_	_	785.0	43.0
PPG Industries	Pittsburgh	PA	_	_	232.0	60.0
PPL Corp.	Allentown	PA	350	_	_	55.0
PacifiCare Health Systems	Cypress	CA	_	_	_	68.0
PacifiCorp	Portland	OR	_	_	_	85.0
Pathmark Stores Inc.	Carteret	NJ	_	497.0	_	53.0
PepsiCo Inc.	Purchase	NY	_	61.0	_	100.0
Perkins & Will	Chicago	IL	_	_	_	70.0
Pfizer Inc.	New York	NY	_	_	31.0	100.0
Polaroid Corp.	Waltham	MA	_	_	_	60.0
Praxair Inc.	Danbury	CT	_	_	297.0	25.0
Procter & Gamble Co.	Cincinnati	OH	_	24.0	_	65.0
Progress Energy Inc.	Raleigh	NC	222	_	_	53.0
QUALCOMM Inc.	San Diego	CA	_	_	381.0	95.0
Quest Diagnostics Incorporated	Lyndhurst	NJ	392	_	_	80.0
Qwest Communications International Inc.	Denver	CO	_	_	160.0	70.0
R.R. Donnelley & Sons Co.	Chicago	IL	265	_	_	20.0
RadioShack Corp.	Fort Worth	TX	_	423.0	_	40.0
Reliant Energy Inc.	Houston	TX	220	_	_	50.0
Replacements Ltd.	McLeansville	NC	_	_	_	100.0
Reuters America Holdings Inc.	New York	NY	_	_	_	80.0
Reynolds American Inc.	Winston-Salem	NC	_	_	280.0	90.0
Rite Aid Corp.	Camp Hill	PA	_	129.0	_	70.0
Rohm and Haas Company	Philadelphia	PA	_	_	286.0	53.0
Royal Caribbean Cruises Ltd	Miami	FL	_	_	_	55.0
Ryder System Inc.	Miami	FL	_	_	375.0	93.0
S.C. Johnson & Son Inc.	Racine	WI	_	_	_	100.0
SLM Corp.	Reston	VA	_	_	331.0	75.0
SRA International Inc.	Fairfax	VA	_	_	_	75.0
Safeway Inc.	Pleasanton	CA	_	50.0	_	70.0
Sara Lee Corp.	Chicago	IL	_	111.0	_	70.0
Schering-Plough Corp.	Kenilworth	NJ	_	_	250.0	100.0
Scholastic Corp.	New York	NY	782	_	_	50.0
Sears Holdings Corporation	Hoffman Estates	IL	_	33.0	_	100.0
Sempra Energy	San Diego	CA	197	_	_	100.0
Severn Trent Services Inc.	Fort Washington	PA	_	_	_	65.0
Shell Oil Co.	Houston	TX	_	_	_	85.0
Siemens Energy & Automation Inc.	Alpharetta	GA	_	_	_	60.0
Sierra Health Services Inc.	Las Vegas	NV	_	_	_	88.0
Sodexho Inc.	Gaithersburg	MD	_	_	_	95.0
Solutions Inc.	Watertown	MA	_	_	_	100.0
Southern California Edison Company	Rosemead	CA	_	_	_	95.0
Sprint Nextel Corp	Reston	VA	59.0			100.0
Staples Inc.	Framingham	MA	_	137.0	_	93.0
Starbucks Corp.	Seattle	WA	_	338.0	_	85.0
Starwood Hotels & Resorts Worldwide	White Plains	NY	_	360.0	_	100.0
State Street Corp.	Boston	MA	307	_	_	100.0
Subaru of America Inc.	Cherry Hill	NJ	_	_	_	70.0
SunTrust Banks Inc.	Atlanta	GA	217	_	_	100.0
Supervalu Inc.	Eden Prairie	MN	_	113.0	_	85.0
TAP Pharmaceutical Products Inc.	Lake Forest	IL	_	_	_	50.0
Target Corp.	Minneapolis	MN	_	29.0	_	80.0
Texas Instruments Inc.	Dallas	TX	_	_	167.0	80.0
The Dun & Bradstreet Corporation	Short Hills	NJ	_	_	_	35.0
The Olivia Companies LLC	San Francisco	CA	_	_	_	100.0
Time Warner Inc.	New York	NY	_	_	40.0	85.0
Toyota Motor Sales USA Inc.	Torrance	CA	_	_	_	90.0
Toys ‘R' Us Inc.	Wayne	NJ	_	208.0	13.0	45.0
Travelport Inc.	Chicago	IL	_	_	_	95.0
U.S. Bancorp	Minneapolis	MN	_	_	131.0	85.0
U.S. Foodservice Inc	Columbia	MD	_	_	_	50.0
UBS AG	Stamford	CT	_	_	_	95.0
Union Pacific Corporation	Omaha	NE	_	_	164.0	58.0
Unisys Corp.	Blue Bell	PA	_	_	372.0	90.0
United Parcel Service Inc.	Atlanta	GA	44	_80
United Technologies Corp.	Hartford	CT	_	_	43.0	40.0
University Hospitals of Cleveland	Cleveland	OH	_	_	_	65.0
Verio Inc.	Englewood	CO	_	_	_	50.0
Verizon Communications Inc.	Basking Ridge	NJ	_	_	18.0	85.0
Viacom Inc.	New York	NY	_	_	241.0	100.0
Visa International	Foster City	CA	_	_	_	100.0
Vision Service Plan	Rancho Cordova	CA	_	_	_	80.0
Visteon Corp.	Van Buren Township	MI	_	_	128.0	95.0
Vivendi	New York	NY	_	_	_	50.0
Volkswagen of America Inc.	Auburn Hills	MI	_	_	_	100.0
Wachovia Corp.	Charlotte	NC	57	_	_	100.0
Wal-Mart Stores Inc.	Bentonville	AR	_	2.0	_	65.0
Walgreens Co.	Deerfield	IL	_	45.0	_	100.0
Walt Disney Co.	Burbank	CA	_	_	63.0	95.0
Washington Mutual Inc.	Seattle	WA	_	_	99.0	90.0
Waste Management Inc.	Houston	TX	_	_	170.0	85.0
WellPoint Inc.	Indianapolis	IN	_	_	_	80.0
Wells Fargo & Co.	San Francisco	CA	46	_	_	100.0
Weyerhaeuser Co.	Federal Way	WA	_	_	90.0	60.0
Whirlpool Corp.	Benton Harbor	MI	_	152.0	_	100.0
Whole Foods Market Inc.	Austin	TX	_	449.0	_	95.0
Williams Companies Inc.	Tulsa	OK	_	_	180.0	65.0
Wisconsin Energy Corporation	Milwaukee	WI	510	_	_	55.0
Working Assets Funding Service Inc.	San Francisco	CA	_	_	_	83.0
Worldspan Technologies Inc.	Atlanta	GA	_	_	_	90.0
Wyeth	Madison	NJ	_	_	119.0	65.0
Wyndham International Inc.	Dallas	TX	_	_	_	90.0
XM Satellite Radio Holdings Inc.	Washington	DC	_	_	_	88.0
Xcel Energy	Minneapolis	MN	247	_	_	75.0
Yahoo! Inc.	Sunnyvale	CA	_	_	412.0	90.0
Zurich North America	Schaumburg	IL	_	_	_	50.0
