3M Co.	St. Paul, MN	100.0	nan	100.0	100.0	+	nan
A.T. Kearney Inc.	Chicago, IL	nan	nan	100.0	80.0	nan	nan
AAA Northern California, Nevada and	nan	nan	nan	nan	nan	nan	nan
nan	San Francisco, CA	nan	nan	100.0	100.0	nan	nan
Utah	nan	nan	nan	nan	nan	nan	Headquarters
Abbott Laboratories	Abbott Park, IL	96.0	nan	80.0	80.0	nan	Location
Abercrombie & Fitch Co.	New Albany, OH	578.0	nan	100.0	100.0	nan	nan
Accenture Ltd.	New York, NY	nan	nan	100.0	100.0	nan	nan
Acer Inc.	Irvine, CA	nan	nan	50.0	50.0	nan	nan
Adecco North America LLC	Melville, NY	nan	nan	85.0	85.0	nan	nan
Adobe Systems Inc.	San Jose, CA	651.0	nan	95.0	95.0	nan	2008 Fortune 1000
Advanced Micro Devices Inc.	Sunnyvale, CA	406.0	nan	75.0	80.0	nan	2008 Forbes 200
AEGON USA Inc.	Cedar Rapids, IA	nan	nan	40.0	40.0	nan	2008 AmLaw 200
Aetna Inc.	Hartford, CT	85.0	nan	100.0	100.0	+	nan
Affiliated Computer Services Inc.	Dallas, TX	423.0	nan	60.0	60.0	nan	2010 CEI Rating
Agilent Technologies Inc.	Santa Clara, CA	443.0	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2009 CEI Rating
Ahold USA Inc.	Quincy, MA	nan	nan	78.0	78.0	nan	nan
Air Products & Chemicals Inc.	Allentown, PA	258.0	nan	75.0	75.0	nan	nan
1bAkin, Gump, Strauss, Hauer & Feld LLP	Washington, DC	nan	29.0	100.0	100.0	nan	nan
Alaska Air Group Inc.	Seattle, WA	599.0	nan	100.0	100.0	nan	2a
Alcatel-Lucent	Murray Hill, NJ	nan	nan	100.0	100.0	+	2b
Alcoa Inc.	New York, NY	80.0	nan	100.0	85.0	nan	nan
Allegheny Energy Inc.	Greensburg, PA	623.0	nan	45.0	45.0	nan	nan
Alliant Energy Corp.	Madison, WI	607.0	nan	80.0	85.0	nan	nan
3bAlliant Techsystems Inc.	Edina, MN	594.0	nan	65.0	65.0	nan	nan
Allianz Life Insurance Co. of North	nan	nan	nan	nan	nan	nan	3c
nan	Minneapolis, MN	nan	nan	100.0	100.0	nan	nan
America	nan	nan	nan	nan	nan	nan	nan
Allstate Corp., The	Northbrook, IL	64.0	nan	100.0	100.0	nan	nan
Alston & Bird LLP	Atlanta, GA	nan	54.0	100.0	100.0	nan	5
Amazon.com Inc.	Seattle, WA	171.0	nan	95.0	80.0	nan	6
AMC Entertainment Inc.	Kansas City, MO	783.0	166.0	100.0	63.0	nan	nan
Ameren Corp.	St. Louis, MO	329.0	nan	70.0	45.0	nan	nan
American Express Co.	New York, NY	75.0	nan	100.0	100.0	+	nan
American Family Insurance Group	Madison, WI	352.0	nan	88.0	95.0	nan	nan
Ameriprise Financial Inc.	Minneapolis, MN	296.0	nan	100.0	100.0	+	nan
Amgen Inc.	Thousand Oaks, CA	173.0	nan	70.0	70.0	nan	nan
AMR Corp. (American Airlines)	Fort Worth, TX	109.0	nan	100.0	100.0	nan	nan
AmTrust Bank	Cleveland, OH	nan	nan	83.0	83.0	nan	nan
Andrews Kurth LLP	Houston, TX	nan	107.0	70.0	70.0	nan	nan
Anheuser-Busch Companies Inc.	St. Louis, MO	149.0	nan	100.0	100.0	nan	nan
Blue Cross Blue Shield of Florida Inc.	Jacksonville, FL	nan	nan	nan	100.0	nan	nan	nan
Blue Cross Blue Shield of North	nan	nan	nan	nan	nan	nan	nan	nan
nan	Durham, NC	nan	nan	nan	90.0	nan	nan	nan
Carolina	nan	nan	nan	nan	nan	nan	nan	nan
BMC Software Inc.	Houston, TX	nan	nan	nan	100.0	100.0	nan	nan
BNSF Railway Co.	Fort Worth, TX	160.0	nan	nan	20.0	30.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	Headquarters
Boehringer Ingelheim USA Corp.	Ridgefield, CT	nan	nan	nan	100.0	100.0	nan	Location
Boeing Co.	Chicago, IL	27.0	nan	nan	100.0	100.0	nan	nan
Booz Allen Hamilton Inc.	McLean, VA	nan	107.0	nan	100.0	80.0	+	nan
Borders Group Inc.	Ann Arbor, MI	549.0	nan	nan	100.0	100.0	nan	nan
Boston Consulting Group	Boston, MA	nan	194.0	nan	100.0	100.0	nan	nan
BP America Inc.	Houston, TX	nan	nan	nan	100.0	100.0	nan	2008 Fortune 1000
Bridgestone Americas Holding Inc.	Nashville, TN	nan	nan	nan	80.0	80.0	nan	2008 Forbes 200
Bright Horizons Family Solutions Inc.	Watertown, MA	nan	nan	nan	100.0	100.0	nan	2008 AmLaw 200
Brinker International Inc.	Dallas, TX	519.0	nan	nan	100.0	100.0	nan	nan
Bristol-Myers Squibb Co.	New York, NY	125.0	nan	nan	100.0	100.0	nan	2010 CEI Rating
Brown Rudnick LLP	Boston, MA	nan	nan	161.0	100.0	100.0	nan	nan
Brown-Forman Corp.	Louisville, KY	823.0	nan	nan	85.0	20.0	nan	nan
Bryan Cave LLP	St. Louis, MO	nan	nan	60.0	100.0	100.0	nan	nan
1bBurger King Corp.	Miami, FL	829.0	nan	nan	68.0	nan	nan	nan
C&S Wholesale Grocers Inc.	Keene, NH	nan	12.0	nan	40.0	40.0	nan	2a
Cadwalader, Wickersham & Taft LLP	New York, NY	nan	nan	47.0	95.0	95.0	nan	2b
Calpine Corp.	San Jose, CA	318.0	nan	nan	48.0	48.0	nan	nan
Campbell Soup Co.	Camden, NJ	320.0	nan	nan	100.0	100.0	+	nan
Canadian Imperial Bank of Commerce	New York, NY	nan	nan	nan	95.0	95.0	nan	nan
3bCapgemini U.S.	New York, NY	nan	nan	nan	60.0	nan	nan	nan
Capital One Financial Corp.	McLean, VA	130.0	nan	nan	100.0	100.0	nan	3c
Cardinal Health Inc.	Dublin, OH	19.0	nan	nan	100.0	100.0	+	4
Cargill Inc.	Wayzata, MN	nan	1.0	nan	100.0	100.0	nan	nan
Carlson Companies Inc.	Minnetonka, MN	nan	87.0	nan	100.0	100.0	nan	nan
Carlton Fields PA	Tampa, FL	nan	nan	179.0	100.0	90.0	nan	nan
Carmax Inc.	Richmond, VA	333.0	nan	nan	100.0	100.0	nan	nan
Caterpillar Inc.	Peoria, IL	50.0	nan	nan	75.0	55.0	nan	nan
CDW Corp.	Vernon Hills, IL	nan	34.0	nan	88.0	88.0	nan	nan
Cerner Corp.	Kansas City, MO	nan	nan	nan	73.0	65.0	nan	nan
CH2M HILL Companies Ltd.	Englewood, CO	520.0	85.0	nan	80.0	80.0	nan	nan
Chadbourne & Parke LLP	New York, NY	nan	nan	97.0	90.0	90.0	nan	nan
Chamberlin Edmonds & Associates Inc.	Atlanta, GA	nan	nan	nan	53.0	68.0	nan	nan
Chapman & Cutler LLP	Chicago, IL	nan	nan	171.0	100.0	nan	nan	nan
Charles Schwab Corp., The	San Francisco, CA	402.0	nan	nan	100.0	100.0	nan	nan
Chartis	New York, NY	nan	nan	nan	85.0	nan	nan	nan
Chevron Corp.	San Ramon, CA	3.0	nan	nan	100.0	100.0	nan	nan
Choice Hotels International Inc.	Silver Spring, MD	nan	nan	nan	90.0	nan	nan	nan
Chrysler LLC	Auburn Hills, MI	nan	3.0	nan	100.0	100.0	+	nan
Chubb Corp.	Warren, NJ	180.0	nan	nan	100.0	100.0	nan	Headquarters
CIGNA Corp.	Philadelphia, PA	141.0	nan	nan	95.0	95.0	nan	nan
Cisco Systems Inc.	San Jose, CA	71.0	nan	nan	100.0	100.0	+	nan
Citigroup Inc.	New York, NY	8.0	nan	nan	100.0	100.0	nan	nan
Clear Channel Communications Inc.	San Antonio, TX	339.0	nan	nan	100.0	100.0	nan	nan
Cleary, Gottlieb, Steen & Hamilton LLP	New York, NY	nan	nan	21.0	100.0	100.0	nan	nan
Clifford Chance US LLP	New York, NY	nan	nan	nan	100.0	100.0	+	nan
Clorox Co.	Oakland, CA	474.0	nan	nan	100.0	100.0	nan	nan
CNA Insurance	Chicago, IL	nan	nan	nan	100.0	100.0	nan	nan
Coca-Cola Co., The	Atlanta, GA	83.0	nan	nan	100.0	100.0	+	nan
Coca-Cola Enterprises Inc.	Atlanta, GA	118.0	nan	nan	100.0	100.0	nan	nan
Colgate-Palmolive Co.	New York, NY	186.0	nan	nan	95.0	73.0	nan	2009 CEI Rating
Comcast Corp.	Philadelphia, PA	79.0	nan	nan	95.0	80.0	nan	1a
Comerica Inc.	Dallas, TX	501.0	nan	nan	80.0	80.0	nan	1b
Compass Group USA Inc.	Charlotte, NC	nan	nan	nan	50.0	65.0	nan	nan
Computer Sciences Corp.	Falls Church, VA	170.0	nan	nan	85.0	nan	nan	nan
Compuware Corp.	Detroit, MI	nan	nan	nan	93.0	93.0	nan	nan
ConAgra Foods Inc.	Omaha, NE	210.0	nan	nan	90.0	90.0	nan	2c
ConocoPhillips	Houston, TX	5.0	nan	nan	70.0	60.0	nan	3a
Consolidated Edison Co.	New York, NY	195.0	nan	nan	95.0	95.0	nan	3b
Constellation Energy Group Inc.	Baltimore, MD	117.0	nan	nan	100.0	100.0	nan	nan
Continental Airlines Inc.	Houston, TX	178.0	nan	nan	100.0	100.0	nan	nan
Convergys Corp.	Cincinnati, OH	703.0	nan	nan	80.0	80.0	nan	nan
Cooper Tire & Rubber Co.	Findlay, OH	674.0	nan	nan	33.0	33.0	nan	5
Corbis Corp.	Seattle, WA	nan	nan	nan	80.0	80.0	nan	6
Corning Inc.	Corning, NY	417.0	nan	nan	100.0	100.0	nan	nan
Costco Wholesale Corp.	Issaquah, WA	29.0	nan	nan	100.0	93.0	nan	nan
Covington & Burling LLP	Washington, DC	nan	nan	61.0	100.0	100.0	+	nan
Cox Enterprises Inc.	Atlanta, GA	nan	15.0	nan	100.0	100.0	nan	nan
Cracker Barrel Old Country Store Inc.	Lebanon, TN	772.0	nan	nan	15.0	15.0	nan	nan
Cravath, Swaine & Moore LLP	New York, NY	nan	nan	43.0	100.0	100.0	nan	nan
Credit Suisse USA Inc.	New York, NY	nan	nan	nan	100.0	100.0	nan	nan
Crowell & Moring LLP	Washington, DC	nan	nan	113.0	95.0	95.0	nan	nan
CSX Corp.	Jacksonville, FL	261.0	nan	nan	75.0	75.0	nan	nan
Cummins Inc.	Columbus, IN	206.0	nan	nan	100.0	100.0	+	nan
CUNA Mutual Insurance Group	Madison, WI	566.0	nan	65.0	65.0	nan	nan
CVS Caremark Corp.	Woonsocket, RI	24.0	nan	90.0	90.0	nan	nan
Dana Holding Corp.	Toledo, OH	283.0	nan	20.0	20.0	nan	nan
Darden Restaurants Inc.	Orlando, FL	415.0	nan	80.0	80.0	nan	Headquarters
Davis Wright Tremaine LLP	Seattle, WA	nan	117.0	95.0	85.0	nan	nan
Davis, Polk & Wardwell LLP	New York, NY	nan	26.0	100.0	95.0	nan	nan
Dean Foods Co.	Dallas, TX	224.0	nan	73.0	73.0	nan	nan
Debevoise & Plimpton LLP	New York, NY	nan	33.0	100.0	100.0	nan	nan
Deere & Co.	Moline, IL	102.0	nan	33.0	33.0	nan	nan
Dell Inc.	Round Rock, TX	34.0	nan	100.0	100.0	nan	nan
Deloitte LLP	New York, NY	nan	nan	100.0	100.0	+	nan
Delphi Corp.	Troy, MI	92.0	nan	45.0	45.0	nan	nan
Delta Air Lines Inc.	Atlanta, GA	129.0	nan	100.0	85.0	nan	nan
Deutsche Bank	New York, NY	nan	nan	100.0	100.0	+	nan
Dewey & LeBoeuf LLP	New York, NY	nan	49.0	100.0	100.0	nan	2009 CEI Rating
Diageo North America	Norwalk, CT	nan	nan	100.0	100.0	+	1a
Dickstein Shapiro LLP	Washington, DC	nan	91.0	100.0	100.0	nan	1b
Discover Financial Services	Riverwoods, IL	nan	nan	58.0	58.0	nan	nan
DLA Piper	Baltimore, MD	nan	11.0	100.0	100.0	+	nan
Dollar Thrifty Automotive Group Inc.	Tulsa, OK	956.0	nan	93.0	83.0	nan	nan
Dominion Resources Inc.	Richmond, VA	161.0	nan	95.0	90.0	nan	2c
Domino�s Pizza Inc.	Ann Arbor, MI	nan	nan	60.0	60.0	nan	3a
Dorsey & Whitney LLP	Minneapolis, MN	nan	73.0	100.0	100.0	nan	3b
Dow Chemical Co., The	Midland, MI	42.0	nan	100.0	100.0	nan	nan
Drinker Biddle & Reath LLP	Philadelphia, PA	nan	74.0	95.0	95.0	nan	nan
DTE Energy Co.	Detroit, MI	273.0	nan	75.0	75.0	nan	nan
Duane Morris LLP	Philadelphia, PA	nan	71.0	100.0	95.0	nan	5
Duke Energy Corp.	Charlotte, NC	204.0	nan	80.0	75.0	nan	6
Dun & Bradstreet Corp., The	Short Hills, NJ	987.0	nan	35.0	35.0	nan	nan
Dykema Gossett PLLC	Detroit, MI	nan	151.0	80.0	80.0	nan	nan
E*TRADE Financial Corp.	New York, NY	833.0	nan	93.0	93.0	nan	nan
E. I. du Pont de Nemours and Co.	nan	nan	nan	nan	nan	nan	nan
nan	Wilmington, DE	81.0	nan	100.0	100.0	+	nan
(DuPont)	nan	nan	nan	nan	nan	nan	nan
EarthLink Inc.	Atlanta, GA	nan	nan	88.0	88.0	nan	nan
Eastman Kodak Co.	Rochester, NY	238.0	nan	100.0	100.0	+	nan
eBay Inc.	San Jose, CA	326.0	nan	100.0	100.0	nan	nan
Ecolab Inc.	St. Paul, MN	438.0	nan	100.0	nan	nan	nan
Edison International	Rosemead, CA	205.0	nan	35.0	35.0	nan	nan
Edwards Angell Palmer & Dodge LLP	Boston, MA	nan	81.0	100.0	100.0	nan	nan
Electronic Arts Inc.	Redwood City, CA	660.0	nan	nan	100.0	100.0	nan	nan
Eli Lilly & Co.	Indianapolis, IN	133.0	nan	nan	100.0	100.0	nan	nan
EMC Corp.	Hopkinton, MA	201.0	nan	nan	95.0	95.0	nan	nan
Emerson Electric Co.	St. Louis, MO	111.0	nan	nan	45.0	45.0	nan	Headquarters
nan	nan	nan	nan	nan	nan	nan	nan	Location
Entergy Corp.	New Orleans, LA	231.0	nan	nan	95.0	95.0	nan	nan
Enterprise Rent-A-Car Co.	St. Louis, MO	nan	21.0	nan	80.0	80.0	nan	nan
Epstein Becker & Green PC	New York, NY	nan	nan	126.0	80.0	nan	nan	nan
Ernst & Young LLP	New York, NY	nan	9.0	nan	100.0	100.0	+	nan
Estee Lauder Companies	New York, NY	349.0	nan	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	2008 Fortune 1000
Esurance Inc.	San Francisco, CA	nan	nan	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	2008 Forbes 200
Exelon Corp.	Chicago, IL	131.0	nan	nan	95.0	95.0	+	nan
Expedia Inc.	Bellevue, WA	737.0	nan	nan	65.0	50.0	nan	nan
Exxon Mobil Corp.	Irving, TX	2.0	nan	nan	0.0	0.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	2010 CEI Rating
Faegre & Benson LLP	Minneapolis, MN	nan	nan	94.0	100.0	100.0	+	nan
Federal Home Loan Mortgage Corp.	nan	nan	nan	nan	nan	nan	nan	2009 CEI Rating
nan	McLean, VA	54.0	nan	nan	100.0	85.0	nan	nan
(Freddie Mac)	nan	nan	nan	nan	nan	nan	nan	nan
Federal National Mortgage Association	nan	nan	nan	nan	nan	nan	nan	nan
nan	Washington, DC	53.0	nan	nan	100.0	100.0	nan	nan
(Fannie Mae)	nan	nan	nan	nan	nan	nan	nan	1b
FedEx Corp.	Memphis, TN	68.0	nan	nan	70.0	55.0	nan	nan
Fenwick & West LLP	Mountain View, CA	nan	nan	141.0	100.0	95.0	nan	nan
Fifth Third Bancorp	Cincinnati, OH	307.0	nan	nan	80.0	75.0	nan	nan
Finnegan, Henderson, Farabow, Garrett	nan	nan	nan	nan	nan	nan	nan	2c
nan	Washington, DC	nan	nan	86.0	100.0	40.0	nan	nan
& Dunner LLP	nan	nan	nan	nan	nan	nan	nan	nan
Fish & Richardson PC	Boston, MA	nan	nan	72.0	95.0	80.0	nan	nan
Foley & Lardner LLP	Milwaukee, WI	nan	nan	32.0	100.0	100.0	nan	3b
Foley Hoag LLP	Boston, MA	nan	nan	158.0	100.0	100.0	nan	3c
Food Lion LLC	Salisbury, NC	nan	nan	nan	100.0	95.0	+	4
Ford Motor Co.	Dearborn, MI	7.0	nan	nan	100.0	100.0	+	nan
nan	nan	nan	nan	nan	nan	nan	nan	5
Franklin Resources Inc.	San Mateo, CA	389.0	nan	nan	50.0	50.0	nan	nan
6Freescale Semiconductor Inc.	Austin, TX	nan	52.0	nan	100.0	100.0	nan	nan
Fried, Frank, Haris, Shriver & Jacobson	nan	nan	nan	nan	nan	nan	nan	nan
nan	New York, NY	nan	nan	51.0	100.0	100.0	+	nan
LLP	nan	nan	nan	nan	nan	nan	nan	nan
Frost Brown Todd LLC	Cincinnati, OH	nan	nan	169.0	85.0	85.0	nan	nan
Fulbright & Jaworski LLP	Houston, TX	nan	nan	37.0	100.0	85.0	nan	nan
GameStop Corp.	Grapevine, TX	348.0	nan	nan	100.0	100.0	nan	nan
Gannett Co. Inc.	McLean, VA	332.0	nan	nan	65.0	65.0	nan	nan
Gap Inc.	San Francisco, CA	162.0	nan	nan	100.0	100.0	nan	nan
Gastronomy Inc.	Salt Lake City, UT	nan	nan	nan	63.0	nan	nan	nan
nan	South San Francisco,	nan	nan	nan	nan	nan	nan	nan
Genentech Inc.	nan	nan	nan	nan	100.0	100.0	+	nan
nan	CA	nan	nan	nan	nan	nan	nan	nan
General Dynamics Corp.	Falls Church, VA	87.0	nan	nan	40.0	40.0	nan	nan
General Electric Co.	Fairfield, CT	6.0	nan	nan	80.0	80.0	nan	nan
General Mills Inc.	Minneapolis, MN	214.0	nan	nan	100.0	95.0	nan	nan
General Motors Corp.	Detroit, MI	4.0	nan	nan	100.0	100.0	+	nan
Gibson, Dunn & Crutcher LLP	Los Angeles, CA	nan	nan	20.0	100.0	100.0	nan	Headquarters
nan	nan	nan	nan	nan	nan	nan	nan	Location
nan	Research Triangle Park,	nan	nan	nan	nan	nan	nan	nan
GlaxoSmithKline plc	nan	nan	nan	nan	100.0	100.0	nan	nan
nan	NC	nan	nan	nan	nan	nan	nan	nan
Goldman Sachs Group Inc., The	New York, NY	20.0	nan	nan	100.0	100.0	+	nan
Goodwin Procter LLP	Boston, MA	nan	nan	42.0	100.0	75.0	nan	nan
Google Inc.	Mountain View, CA	150.0	nan	nan	100.0	100.0	+	nan
Gordon & Rees LLP	San Francisco, CA	nan	nan	164.0	95.0	95.0	nan	2008 Fortune 1000
Greenberg Traurig LLP	Miami, FL	nan	nan	8.0	83.0	nan	nan	2008 Forbes 200
Group Health Cooperative	Seattle, WA	nan	nan	nan	88.0	78.0	nan	nan
Group Health Permanente	Seattle, WA	nan	nan	nan	85.0	nan	nan	nan
H&R Block Inc.	Kansas City, MO	544.0	nan	nan	65.0	65.0	nan	2010 CEI Rating
H.E. Butt Grocery Co.	San Antonio, TX	nan	13.0	nan	75.0	40.0	nan	nan
H.J. Heinz Co.	Pittsburgh, PA	293.0	nan	nan	68.0	68.0	nan	nan
Hain Celestial Group Inc.	Melville, NY	nan	nan	nan	70.0	55.0	nan	nan
Hallmark Cards Inc.	Kansas City, MO	nan	93.0	nan	100.0	90.0	nan	1b
Hannaford Brothers	Portland, ME	nan	nan	nan	83.0	83.0	nan	2a
Hanover Direct Inc.	Weehawken, NJ	nan	nan	nan	75.0	nan	nan	2b
Harrah�s Entertainment Inc.	Las Vegas, NV	244.0	27.0	nan	100.0	100.0	nan	nan
Harris Bankcorp Inc.	Chicago, IL	nan	nan	nan	100.0	90.0	nan	nan
Harris Interactive Inc.	Rochester, NY	nan	nan	nan	93.0	93.0	nan	nan
Harry & David Holdings Inc.	Medford, OR	nan	nan	nan	83.0	83.0	nan	3b
Hartford Financial Services Group	3cHartford, CT	95.0	nan	nan	100.0	100.0	nan	nan
Inc., The	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	4
Harvard Pilgrim Health Care Inc.	Wellesley, MA	nan	nan	nan	93.0	100.0	nan	nan
Hasbro Inc.	Pawtucket, RI	567.0	nan	nan	50.0	50.0	nan	5
Haynes and Boone LLP	Dallas, TX	nan	nan	101.0	100.0	100.0	nan	6
Health Care Service Corp.	Chicago, IL	nan	nan	nan	100.0	95.0	nan	nan
Health Net Inc.	Woodland Hills, CA	179.0	nan	nan	93.0	93.0	nan	nan
Herman Miller Inc.	Zeeland, MI	914.0	nan	nan	100.0	100.0	+	nan
Herrick Feinstein LLP	New York, NY	nan	nan	170.0	95.0	nan	nan	nan
Hershey Co., The	Hershey, PA	471.0	nan	nan	70.0	70.0	nan	nan
Hertz Global Holdings Inc.	Park Ridge, NJ	304.0	nan	nan	70.0	nan	nan	nan
Hewitt Associates	Lincolnshire, IL	677.0	nan	nan	100.0	100.0	nan	nan
Hewlett-Packard Co.	Palo Alto, CA	14.0	nan	nan	100.0	100.0	nan	nan
Hilton Hotels Corp.	Beverly Hills, CA	nan	36.0	nan	90.0	90.0	nan	nan
Hinshaw & Culbertson LLP	Chicago, IL	nan	nan	143.0	100.0	nan	nan	nan
