company_name	location	cei_2016	cei_2015	forbes_1000
Best Buy Co. Inc.	Richfi eld, MN		100.0	100.0
Bingham McCutchen LLP	Boston, MA	26.0	100.0	100.0
"Black & Decker Corp., The"	Towson, MD		55.0	
BMC Software Inc.	Houston, TX		100.0	70.0
BNSF Railway Co.	Fort Worth, TX		30.0	30.0
	Ridgefi eld, CT		100.0	100.0
Boeing Co.	Chicago, IL		100.0	100.0
Booz Allen Hamilton Inc.	McLean, VA		80.0	80.0
Borders Group Inc.	Ann Arbor, MI		100.0	100.0
Boston Consulting Group	Boston, MA		100.0	100.0
BP America Inc.	Houston, TX		100.0	100.0
Bridgestone Americas Holding Inc.	Nashville, TN		80.0	80.0
Bright Horizons Family Solutions Inc.	Watertown, MA		100.0	100.0
Brinker International Inc.	Dallas, TX		100.0	100.0
Bristol-Myers Squibb Co.	New York, NY		100.0	100.0
Brown Rudnick LLP	Boston, MA	168.0	100.0	
Brown-Forman Corp.	Louisville, KY		20.0	
Bryan Cave LLP	St. Louis, MO	61.0	100.0	100.0
C&S Wholesale Grocers Inc.	Keene, NH		40.0	40.0
"Cadwalader, Wickersham & Taft LLP"	New York, NY	39.0	95.0	95.0
Calpine Corp.	San Jose, CA		48.0	48.0
Campbell Soup Co.	Camden, NJ		100.0	95.0
Canadian Imperial Bank of Commerce	New York, NY		95.0	95.0
Capital One Financial Corp.	McLean, VA		100.0	100.0
Cardinal Health	Dublin, OH		100.0	
Cargill Inc.	Wayzata, MN		100.0	100.0
Carlson Companies Inc.	Minnetonka, MN		100.0	100.0
Carlton Fields	Tampa, FL	188.0	90.0	
Carmax Inc.	Richmond, VA		100.0	
Caterpillar Inc.	Peoria, IL		55.0	45.0
CBRL Group Inc. (Cracker Barrel)	Lebanon, TN		15.0	15.0
CDW Corp.	Vernon Hills, IL		88.0	58.0
Cerner Corp.	Kansas City, MO		65.0	65.0
CH2M HILL Companies Ltd.	Englewood, CO		80.0	80.0
Chadbourne & Parke LLP	New York, NY	97.0	90.0	70.0
Chamberlin Edmonds & Associates Inc.	Atlanta, GA		68.0	68.0
"Charles Schwab Corp., The"	San Francisco, CA		100.0	100.0
Chevron Corp.	San Ramon, CA		100.0	100.0
ChoicePoint Inc.	Alpharetta, GA		100.0	100.0
Chrysler LLC	Auburn Hills, MI		100.0	100.0
Chubb Corp.	Warren, NJ		100.0	100.0
CIGNA Corp.	Philadelphia, PA		95.0	85.0
Circuit City Stores Inc.	Richmond, VA		55.0	55.0
Cisco Systems Inc.	San Jose, CA		100.0	100.0
Citigroup Inc.	New York, NY		100.0	100.0
Clear Channel Communications Inc.	San Antonio, TX		100.0	100.0
"Cleary, Gottlieb, Steen & Hamilton LLP"	New York, NY	19.0	100.0	100.0
Clifford Chance US LLP	New York, NY		100.0	
Clorox Co.	Oakland, CA		100.0	100.0
CNA Insurance	Chicago, IL		100.0	100.0
"Coca-Cola Co., The"	Atlanta, GA		100.0	100.0
Coca-Cola Enterprises Inc.	Atlanta, GA		100.0	70.0
Colgate-Palmolive Co.	New York, NY		73.0	58.0
Comcast Corp.	Philadelphia, PA		80.0	80.0
Comerica Inc.	Dallas, TX		80.0	80.0
Compass Group USA Inc.	Charlotte, NC		65.0	65.0
Compuware Corp.	Detroit, MI		93.0	
ConAgra Foods Inc.	Omaha, NE		90.0	
ConocoPhillips	Houston, TX		60.0	63.0
2cConsolidated Edison Co.	New York, NY		95.0	80.0
Constellation Energy Group Inc.	Baltimore, MD		100.0	73.0
Continental Airlines Inc.	Houston, TX		100.0	80.0
Convergys Corp.	Cincinnati, OH		80.0	
Cooper Tire & Rubber	Findlay, OH		33.0	33.0
Coors Brewing Co.	Denver, CO		100.0	100.0
Corbis Corp.	Seattle, WA		80.0	80.0
Corning Inc.	Corning, NY		100.0	100.0
Costco Wholesale Corp.	Issaquah, WA		93.0	93.0
Covington & Burling LLP	Washington, DC	63.0	100.0	80.0
	Atlanta, GA		100.0	95.0
"Cravath, Swaine & Moore LLP"	New York, NY	40.0	100.0	95.0
Credit Suisse USA Inc.	New York, NY		100.0	100.0
Crowell & Moring LLP	Washington, DC	122.0	95.0	100.0
CSX Corp.	Jacksonville, FL		75.0	85.0
Cummins Inc.	Columbus, IN		100.0	100.0
CUNA Mutual Insurance Group	Madison, WI		65.0	65.0
CVS Corp.	Woonsocket, RI		90.0	
Dana Holding Corp.	Toledo, OH		20.0	20.0
Darden Restaurants	Orlando, FL		80.0	80.0
Davis Wright Tremaine LLP	Seattle, WA	121.0	85.0	
"Davis, Polk & Wardwell"	New York, NY	29.0	95.0	
Dean Foods Co.	Dallas, TX		73.0	73.0
Debevoise & Plimpton LLP	New York, NY	38.0	100.0	90.0
Deere & Co.	Moline, IL		33.0	33.0
Dell Inc.	Round Rock, TX		100.0	100.0
Deloitte LLP	New York, NY		100.0	100.0
Delphi Corp.	Troy, MI		45.0	45.0
Delta Air Lines Inc.	Atlanta, GA		85.0	85.0
Deutsche Bank	New York, NY		100.0	100.0
Dewey & LeBoeuf LLP	New York, NY		100.0	
Diageo North America	Norwalk, CT		100.0	95.0
1aDickstein Shapiro LLP	Washington, DC	82.0	100.0	100.0
Discover Financial Services	Riverwoods, IL		58.0	
DLA Piper	Baltimore, MD	11.0	100.0	
Dole Food Co. Inc.	Westlake Village, CA		45.0	45.0
Dollar Thrifty Automotive Group Inc.	Tulsa, OK		83.0	
Dominion Resources Inc.	Richmond, VA		90.0	95.0
Domino’s Pizza Inc.	Ann Arbor, MI		60.0	60.0
Dorsey & Whitney LLP	Minneapolis, MN	72.0	100.0	100.0
Dow Chemical Co.	Midland, MI		100.0	100.0
Dow Jones & Co. Inc.	New York, NY		30.0	30.0
DPR Construction Inc.	Redwood City, CA		30.0	30.0
Drinker Biddle & Reath LLP	Philadelphia, PA	99.0	95.0	95.0
DTE Energy Co.	Detroit, MI		75.0	75.0
Duane Morris LLP	Philadelphia, PA	70.0	95.0	80.0
Duke Energy Corp.	Charlotte, NC		75.0	60.0
"Dun & Bradstreet Corp., The"	Short Hills, NJ		35.0	35.0
DuPont (E.I. du Pont de Nemours)	Wilmington, DE		100.0	100.0
"Dykema Gossett P, LLC"	Detroit, MI	149.0	80.0	80.0
E*TRADE Financial Corp.	New York, NY		93.0	93.0
EarthLink Inc.	Atlanta, GA		88.0	88.0
Eastman Kodak Co.	Rochester, NY		100.0	100.0
eBay Inc.	San Jose, CA		100.0	
Edison International	Rosemead, CA		35.0	35.0
Edwards Angell Palmer & Dodge LLP	Boston, MA	75.0	100.0	90.0
Electronic Arts Inc.	Redwood City, CA		100.0	100.0
Electronic Data Systems Corp.	Plano, TX		95.0	90.0
Eli Lilly & Co.	Indianapolis, IN		100.0	100.0
EMC Corp.	Hopkinton, MA		95.0	45.0
Emerson Electric Co.	St. Louis, MO		45.0	45.0
Entergy Corp.	New Orleans, LA		95.0	88.0
Enterprise Rent-A-Car Co.	St. Louis, MO		80.0	85.0
Ernst & Young LLP	New York, NY		100.0	100.0
Estee Lauder Companies	New York, NY		100.0	100.0
Esurance Inc.	San Francisco, CA		100.0	100.0
Exelon Corp.	Chicago, IL		95.0	95.0
Expedia Inc.	Bellevue, WA		50.0	
Exxon Mobil Corp.	Irving, TX		0.0	0.0
Faegre & Benson LLP	Minneapolis, MN	98.0	100.0	100.0
Fannie Mae	Washington, DC		100.0	100.0
FedEx Corp.	Memphis, TN		55.0	55.0
Fenwick & West LLP	Mountain View, CA	141.0	95.0	90.0
Fifth Third Bancorp	Cincinnati, OH		75.0	60.0
	Washington, DC	85.0	40.0	40.0
Fish & Richardson PC	Boston, MA	80.0	80.0	75.0
Fisher Scientifi c International	Hampton, NH		40.0	40.0
Foley & Lardner LLP	Milwaukee, WI	27.0	100.0	100.0
Foley Hoag LLP	Boston, MA	161.0	100.0	100.0
Food Lion LLC	Salisbury, NC		95.0	80.0
Ford Motor Co.	Dearborn, MI		100.0	100.0
Franklin Resources Inc.	San Mateo, CA		50.0	
Freddie Mac	McLean, VA		85.0	85.0
Freescale Semiconductor Inc.	Austin, TX		100.0	100.0
	New York, NY	53.0	100.0	
Frost Brown Todd LLC	Cincinnati, OH	167.0	85.0	
Fulbright & Jaworski LLP	Houston, TX	34.0	85.0	80.0
GameStop Corp.	Grapevine, TX		100.0	100.0
Gannett Co. Inc.	McLean, VA		65.0	65.0
Gap Inc.	San Francisco, CA		100.0	100.0
Genentech Inc.	South San Francisco, CA		100.0	100.0
General Dynamics Corp.	Falls Church, VA		40.0	40.0
General Electric Co.	Fairfi eld, CT		80.0	75.0
General Mills Inc.	Minneapolis, MN		95.0	100.0
General Motors Corp.	Detroit, MI		100.0	100.0
"Gibson, Dunn & Crutcher LLP"	Los Angeles, CA	20.0	100.0	80.0
GlaxoSmithKline plc	Philadelphia, PA		100.0	100.0
Global Hyatt Corp.	Chicago, IL		100.0	100.0
"Goldman Sachs Group Inc., The"	New York, NY		100.0	100.0
Goodwin Procter LLP	Boston, MA	47.0	75.0	
Google Inc.	Mountain View, CA		100.0	100.0
Gordon & Rees LLP	San Francisco, CA	171.0	95.0	85.0
Group Health Cooperative	Seattle, WA		78.0	
H&R Block	Kansas City, MO		65.0	
H.E. Butt Grocery Co.	San Antonio, TX		40.0	40.0
H.J. Heinz Co.	Pittsburgh, PA		68.0	48.0
Hain Celestial Group Inc.	Melville, NY		55.0	30.0
1aHallmark Cards Inc.	Kansas City, MO		90.0	90.0
Hannaford Brothers	Portland, ME		83.0	93.0
Harrah’s Entertainment Inc.	Las Vegas, NV		100.0	100.0
Harris Bankcorp Inc.	Chicago, IL		90.0	95.0
Harris Interactive Inc.	Rochester, NY		93.0	93.0
Harry & David Holdings Inc.	Medford, OR		83.0	43.0
Hartford Financial Services Co.	Hartford, CT		100.0	100.0
Harvard Pilgrim Health Care Inc.	Wellesley, MA		100.0	100.0
Hasbro Inc.	Pawtucket, RI		50.0	50.0
Haynes and Boone LLP	Dallas, TX	105.0	100.0	75.0
Health Care Service Corp.	Chicago, IL		95.0	
Health Net Inc.	Woodland Hills, CA		93.0	93.0
Heller Ehrman LLP	San Francisco, CA	46.0	100.0	100.0
Herman Miller Inc.	Zeeland, MI		100.0	100.0
"Hershey Co., The"	Hershey, PA		70.0	70.0
Hewitt Associates	Lincolnshire, IL		100.0	100.0
Hewlett-Packard Co.	Palo Alto, CA		100.0	100.0
Hilton Hotels Corp.	Beverly Hills, CA		90.0	95.0
Hoffmann-La Roche Inc.	Nutley, NJ		100.0	80.0
Hogan & Hartson LLP	Washington, DC	23.0	95.0	80.0
Holland & Knight LLP	Miami, FL	32.0	100.0	100.0
Holme Roberts & Owen LLP	Denver, CO		60.0	
Home Depot Inc.	Atlanta, GA		85.0	85.0
Honeywell International Inc.	Morristown, NJ		100.0	100.0
Hospira Inc.	Lake Forest, IL		100.0	100.0
Host Hotels & Resorts	Bethesda, MD		45.0	45.0
Hotels.com LP	Dallas, TX		85.0	85.0
Howard & Howard Attorneys PC	Kalamazoo, MI		48.0	48.0
Howrey LLP	Washington, DC	58.0	100.0	85.0
HSBC - North America	Mettawa, IL		100.0	100.0
Humana Inc.	Louisville, KY		45.0	40.0
Huntington Bancshares	Columbus, OH		75.0	
Hunton & Williams LLP	Richmond, VA	41.0	75.0	75.0
Husch Blackwell Sanders LLP	Kansas City, MO	179.0	100.0	80.0
IKON Offi ce Solutions	Malvern, PA		65.0	
Illinois Tool Works Inc.	Glenview, IL		68.0	68.0
Imation Corp.	Oakdale, MN		88.0	93.0
IndyMac Bancorp Inc.	Pasadena, CA		100.0	100.0
ING North America Insurance Corp.	Atlanta, GA		100.0	100.0
Intel Corp.	Santa Clara, CA		100.0	100.0
	Armonk, NY		100.0	100.0
International Paper Co.	Memphis, TN		70.0	70.0
Interpublic Group of Companies Inc.	New York, NY		60.0	60.0
Intuit Inc.	Mountain View, CA		100.0	100.0
ITT Industries Inc.	White Plains, NY		75.0	90.0
J.C. Penney Co. Inc.	Plano, TX		100.0	100.0
J.P. Morgan Chase & Co.	New York, NY		100.0	100.0
Jacobs Engineering Group Inc.	Pasadena, CA		40.0	
Jenner & Block LLP	Chicago, IL	73.0	100.0	100.0
JetBlue Airways Corp.	Forest Hills, NY		80.0	80.0
John Hancock Financial Services Inc.	Boston, MA		88.0	93.0
Johnson & Johnson	New Brunswick, NJ		100.0	100.0
Jones Apparel Group Inc.	New York, NY		45.0	
Kaiser Permanente	Oakland, CA		100.0	100.0
Katten Muchin Rosenman LLP	Chicago, IL	60.0	85.0	85.0
Kaye Scholer LLP	New York, NY	59.0	80.0	80.0
KB Home	Los Angeles, CA		75.0	75.0
Keane Inc.	Boston, MA		50.0	50.0
Kelley Drye & Warren LLP	New York, NY	111.0	95.0	85.0
Kellogg Co.	Battle Creek, MI		60.0	35.0
Kenneth Cole Productions Inc.	New York, NY		95.0	
KeyCorp	Cleveland, OH		100.0	100.0
Kilpatrick Stockton LLP	Atlanta, GA	88.0	95.0	90.0
Kimberly-Clark Corp.	Irving, TX		100.0	85.0
Kimpton Hotel & Restaurant Group Inc.	San Francisco, CA		100.0	100.0
King & Spalding LLP	Atlanta, GA	36.0	95.0	95.0
Kirkland & Ellis LLP	Chicago, IL	7.0	100.0	100.0
KLA-Tencor Corp.	San Jose, CA		58.0	73.0
KPMG LLP	New York, NY		100.0	100.0
Kraft Foods Inc.	Northfi eld, IL		95.0	100.0
Kramer Levin Naftalis & Frankel LLP	New York, NY	91.0	100.0	100.0
"Kroger Co., The"	Cincinnati, OH		75.0	75.0
L.L. Bean Inc.	Freeport, ME		73.0	73.0
Laclede Group Inc.	St. Louis, MO		5.0	5.0
Land O’Lakes	Arden Hills, MN		53.0	53.0
LaSalle Bank Corp.	Chicago, IL		95.0	95.0
1aLatham & Watkins LLP	New York, NY	2.0	100.0	100.0
Lauren Manufacturing Co.	New Philadelphia, OH		5.0	5.0
Lear Corp.	Southfi eld, MI		20.0	20.0
Lehman Brothers Holdings Inc.	New York, NY		100.0	100.0
Levi Strauss & Co.	San Francisco, CA		100.0	100.0
Lexmark International Inc.	Lexington, KY		100.0	100.0
Lillian Vernon Corp.	White Plains, NY		40.0	55.0
Limited Brands Inc.	Columbus, OH		80.0	70.0
Lincoln National Corp.	Radnor, PA		95.0	95.0
Littler Mendelson PC	San Francisco, CA	101.0	100.0	95.0
Liz Claiborne Inc.	New York, NY		100.0	100.0
Lockheed Martin Corp.	Bethesda, MD		100.0	85.0
"Lord, Bissell & Brook"	Chicago, IL	147.0	80.0	80.0
Luce Forward Hamilton & Scripps LLP	San Diego, CA	193.0	80.0	70.0
Macy’s Inc.	Cincinnati, OH		100.0	100.0
"Manatt, Phelps & Phillips LLP"	Los Angeles, CA	112.0	100.0	93.0
Marriott International Inc.	Bethesda, MD		100.0	100.0
Mars Inc.	Mt. Olive, NJ		48.0	
Marsh & McLennan Companies Inc.	New York, NY		100.0	78.0
Massachusetts Mutual Life Insurance Co.	Springfi eld, MA		100.0	100.0
MasterCard Inc.	Purchase, NY		100.0	100.0
Mattel Inc.	El Segundo, CA		93.0	88.0
Mayer Brown LLP	Chicago, IL	8.0	95.0	
McAfee Inc.	Santa Clara, CA		53.0	53.0
McCarter & English LLP	Newark, NJ	120.0	90.0	90.0
McDermott Will & Emery LLP	Chicago, IL	16.0	100.0	100.0
McDonald’s Corp.	Oak Brook, IL		85.0	85.0
"McGraw-Hill Companies Inc., The"	New York, NY		80.0	80.0
McGuireWoods LLP	Richmond, VA	67.0	95.0	
"McKenna, Long & Aldridge LLP"	Atlanta, GA	107.0	90.0	
McKesson Corp.	San Francisco, CA		68.0	
McKinsey & Co. Inc.	New York, NY		100.0	100.0
MeadWestvaco Corp.	Glen Allen, VA		60.0	80.0
Medtronic Inc.	Minneapolis, MN		95.0	85.0
Meijer Inc.	Grand Rapids, MI		15.0	0.0
"Men’s Wearhouse Inc., The"	Houston, TX		50.0	35.0
Merck & Co. Inc.	Whitehouse Station, NJ		100.0	100.0
Merrill Lynch & Co.	New York, NY		100.0	100.0
MetLife Inc.	New York, NY		100.0	100.0
MGM Mirage	Las Vegas, NV		85.0	85.0
Microsoft Corp.	Redmond, WA		100.0	100.0
"Milbank, Tweed, Hadley & McCloy LLP"	New York, NY	42.0	85.0	
Miller Brewing Co.	Milwaukee, WI		90.0	90.0
	Boston, MA	92.0	100.0	100.0
Mirant Corp.	Atlanta, GA		45.0	45.0
Mitchell Gold + Bob Williams	Taylorsville, NC		100.0	100.0
Mohawk Industries Inc.	Calhoun, GA		65.0	65.0
Monsanto Co.	St. Louis, MO		85.0	
Moody’s Corp.	New York, NY		83.0	
Morgan Lewis & Bockius LLP	Philadelphia, PA	12.0	80.0	
Morgan Stanley	New York, NY		100.0	100.0
Morningstar Inc.	Chicago, IL		58.0	65.0
Morrison & Foerster LLP	San Francisco, CA	22.0	100.0	100.0
Motorola Inc.	Schaumburg, IL		100.0	100.0
Mutual of Omaha Insurance	Omaha, NE		80.0	75.0
National City Corp.	Cleveland, OH		80.0	58.0
National Grid USA	Brooklyn, NY		100.0	100.0
Nationwide	Columbus, OH		100.0	100.0
NCR Corp.	Dayton, OH		100.0	100.0
Nestle Purina PetCare Co.	St. Louis, MO		75.0	15.0
New York Life Insurance Co.	New York, NY		100.0	85.0
New York Times Co.	New York, NY		100.0	100.0
Newell Rubbermaid Inc.	Atlanta, GA		100.0	100.0
"Nielsen Co., The"	Schaumburg, IL		100.0	85.0
Nike Inc.	Beaverton, OR		100.0	100.0
Nissan North America Inc.	Nashville, TN		50.0	50.0
Nixon Peabody LLP	New York, NY	65.0	100.0	100.0
Nokia	Irving, TX		50.0	50.0
Nordstrom Inc.	Seattle, WA		100.0	100.0
Nortel Networks Corp.	Richardson, TX		85.0	85.0
Northeast Utilities	Berlin, CT		65.0	80.0
Northern Trust Corp.	Chicago, IL		100.0	100.0
Northrop Grumman Corp.	Los Angeles, CA		100.0	100.0
Northwest Airlines Corp.	Eagan, MN		85.0	85.0
Novartis Pharmaceutical Corp.	East Hanover, NJ		100.0	95.0
Offi ce Depot Inc.	Delray Beach, FL		60.0	60.0
1aOffi ceMax Inc.	Naperville, IL		80.0	75.0
O’Melveny & Myers LLP	Washington, DC	15.0	100.0	100.0
Omnicom Group	New York, NY		80.0	30.0
Oracle Corp.	Redwood City, CA		100.0	100.0
Orbitz Worldwide Inc.	Chicago, IL		100.0	
"Orrick, Herrington & Sutcliffe LLP"	San Francisco, CA	28.0	100.0	100.0
Owens & Minor Inc.	Mechanicsville, VA		55.0	85.0
Owens Corning	Toledo, OH		100.0	100.0
Pacifi c Mutual Holding Co.	Newport Beach, CA		65.0	
Pacifi Corp	Portland, OR		85.0	85.0
Palm Management Corp.	Washington, DC		78.0	40.0
Pathmark Stores Inc.	Carteret, NJ		53.0	53.0
Patterson Belknap Webb & Tyler LLP	New York, NY	159.0	100.0	
"Paul, Hastings, Janofsky & Walker LLP"	Los Angeles, CA	18.0	100.0	100.0
"Paul, Weiss, Rifkind, Wharton & Garrison LLP"	New York, NY	35.0	80.0	
Pepco Holdings Inc.	Washington, DC		65.0	
Pepper Hamilton LLP	Philadelphia, PA	95.0	90.0	
"Pepsi Bottling Group Inc., The"	Somers, NY		100.0	80.0
PepsiAmericas Inc.	Minneapolis, MN		95.0	80.0
PepsiCo Inc.	Purchase, NY		100.0	100.0
"Perkins & Will Group, Ltd.,The"	Chicago, IL		55.0	55.0
Perkins Coie	Seattle, WA	69.0	100.0	85.0
Perot Systems Corp.	Plano, TX		0.0	0.0
Pfi zer Inc.	New York, NY		100.0	100.0
PG&E Corp.	San Francisco, CA		100.0	100.0
Pillsbury Winthrop Shaw Pittman LLP	San Francisco, CA	37.0	100.0	100.0
Pitney Bowes Inc.	Stamford, CT		85.0	85.0
PNC Financial Services Group Inc.	Pittsburgh, PA		80.0	80.0
PNM Resources Inc.	Albuquerque, NM		43.0	43.0
Polaroid Corp.	Waltham, MA		60.0	60.0
Polsinelli Shalton Welte Suelthaus PC	Kansas City, MO		80.0	
Powell Goldstein LLP	Atlanta, GA	168.0	100.0	100.0
PPG Industries Inc.	Pittsburgh, PA		45.0	60.0
PPL Corp.	Allentown, PA		65.0	60.0
Praxair Inc.	Danbury, CT		25.0	25.0
PricewaterhouseCoopers LLP	New York, NY		100.0	100.0
Principal Financial Group	Des Moines, IA		95.0	100.0
Procter & Gamble Co.	Cincinnati, OH		85.0	85.0
Progress Energy Inc.	Raleigh, NC		68.0	68.0
"Progressive Corp., The"	Mayfi eld Village, OH		100.0	65.0
Proskauer Rose LLP	New York, NY	44.0	100.0	85.0
Prudential Financial Inc.	Newark, NJ		100.0	100.0
QUALCOMM Inc.	San Diego, CA		95.0	95.0
Quarles & Brady LLP	Milwaukee, WI	123.0	80.0	80.0
Quest Diagnostics Inc.	Madison, NJ		85.0	80.0
Qwest Communications International Inc.	Denver, CO		80.0	55.0
R.R. Donnelley & Sons Co.	Chicago, IL		55.0	20.0
RadioShack Corp.	Fort Worth, TX		40.0	40.0
Raymond James Financial Inc.	St. Petersburg, FL		100.0	
Raytheon Co.	Waltham, MA		100.0	100.0
5Realogy Corp.	Parsippany, NJ		80.0	
Recreational Equipment Inc.	Kent, WA		100.0	100.0
Reebok International	Canton, MA		68.0	68.0
Reed Smith LLP	Pittsburgh, PA	30.0	75.0	
Reliant Energy Inc.	Houston, TX		75.0	50.0
Replacements Ltd.	McLeansville, NC		100.0	100.0
Reynolds American Inc.	Winston-Salem, NC		100.0	80.0
Rite Aid Corp.	Camp Hill, PA		85.0	85.0
"Robins, Kaplan, Miller & Ciresi LLP"	Minneapolis, MN	130.0	100.0	93.0
Rockwell Collins Inc.	Cedar Rapids, IA		75.0	73.0
Rohm and Haas Co.	Philadelphia, PA		80.0	60.0
Ropes & Gray LLP	Boston, MA	31.0	100.0	
Royal Caribbean Cruises Ltd.	Miami, FL		55.0	55.0
Ryder System Inc.	Miami, FL		93.0	93.0
Ryland Group	Calabasas, CA		30.0	30.0
Sabre Holdings Inc.	Southlake, TX		100.0	
SAFECO Corp.	Seattle, WA		75.0	75.0
Safeway Inc.	Pleasanton, CA		75.0	75.0
Sanofi -Aventis U.S. LLC	Bridgewater, NJ		65.0	80.0
SAP America Inc.	Newton Square, PA		90.0	90.0
Sara Lee Corp.	Downers Grove, IL		75.0	70.0
Saul Ewing LLP	Philadelphia, PA	177.0	68.0	
S. C. Johnson & Son Inc.	Racine, WI		100.0	100.0
Schering-Plough Corp.	Kenilworth, NJ		100.0	100.0
Schiff Hardin LLP	Chicago, IL	124.0	80.0	
Scholastic Corp.	New York, NY		50.0	50.0
"Schulte, Roth &  Zabel LLP"	New York, NY	68.0	80.0	80.0
Seagate Technology LLC	Scotts Valley, CA		60.0	75.0
Sears Holdings Corp.	Hoffman Estates, IL		100.0	100.0
"Sedgwick, Detert, Moran & Arnold LLP"	San Francisco, CA	136.0	100.0	
Selective Insurance Group	Branchville, NJ		85.0	
Sempra Energy	San Diego, CA		100.0	80.0
Severn Trent Services Inc.	Fort Washington, PA		65.0	65.0
Seyfarth Shaw LLP	Chicago, IL	66.0	100.0	95.0
Shell Oil Co.	Houston, TX		100.0	85.0
"Sheppard, Mullin, Richter & Hampton LLP"	Los Angeles, CA	76.0	95.0	75.0
"Shook, Hardy & Bacon LLP"	Kansas City, MO	82.0	85.0	85.0
Sidley Austin LLP	Chicago, IL	5.0	100.0	100.0
6Sierra Health Services Inc.	Las Vegas, NV		88.0	88.0
Sirius Satellite Radio Inc.	New York, NY		80.0	58.0
	New York, NY	1.0	100.0	95.0
SLM Corp. (Sallie Mae)	Reston, VA		60.0	60.0
Sodexho Inc.	Gaithersburg, MD		100.0	100.0
Software House International	Somerset, NJ		40.0	40.0
