Marsh & McLennan	New York	NY	43
Office Depot Inc.	Delray Beach	FL	43
Omnicom Group	New York	NY	43
PacifiCare Health Systems	Santa Ana	CA	43
Seagate Technology Inc.	Scotts Valley	CA	43
Southwest Airlines	Dallas	TX	43
State Farm Group	Bloomington	IL	43
Toys “R” Us Inc.	Framingham	MA	43
Vertis	Baltimore	MD	43
Wal-Mart Stores Inc.	Bentonville	AR	43
AIG (American International Group)	New York	NY	29
Albertson’s Inc.	Boise	ID	29
Archer Daniels Midland Co.	Decatur	IL	29
Automatic Data Processing Inc.	Roseland	NJ	29
Bank of New York Co.	New York	NY	29
Bethlehem Steel Corp.	Bethlehem	PA	29
Circuit City Stores Inc.	Richmond	VA	29
Emerson Electric Co.	St. Louis	MO	29
FedEx Corp.	Memphis	TN	29
Genuine Parts Co.	Atlanta	GA	29
H. J. Heinz Co.	Pittsburgh	PA	29
Harrah’s Entertainment Inc.	Las Vegas	NV	29
Hormel Foods Corp.	Austin	MN	29
Lear Corp.	Southfield	MI	29
May Department Stores Co., The	St. Louis	MO	29
Maytag Corp.	North Newton	IA	29
MeadWestvaco Corp.	Stamford	CT	29
New York Life Insurance Co.	New York	NY	29
Newell Rubbermaid Inc.	Freeport	IL	29
R.R. Donnelley & Sons	Chicago	IL	29
RadioShack Corp.	Fort Worth	TX	29
Rite Aid Corp.	Camp Hill	PA	29
Rohm & Haas	Philadelphia	PA	29
Sprint Corp.	Overland Park	KS	29
Staples Inc.	Westborough	MA	29
TIAA-CREF	New York	NY	29
United Parcel Service (UPS)	Atlanta	GA	29
Wyeth	Madison	NJ	29
Aramark Corp.	Philadelphia	PA	14
Domino’s Inc.	Ann Arbor	MI	14
Exxon Mobil Corp.	Irving	TX	14
Meijer Inc.	Grand Rapids	MI	14
National Gypsum	Charlotte	NC	14
Abbott LaboratoriesAbbot ParkIL71
Agilent Technologies Inc.Palo AltoCA86
Air Products & Chemicals Inc.AllentownPA71
Allegheny EnergyHagerstownMD57
Altria Group Inc. (Philip Morris Companies Inc.)New YorkNY57
American Airlines (AMR Corp.)Dallas-Fort Worth AirportTX100
Amgen Inc.Thousand OaksCA71
AnthemIndianapolisIN43
Apple Computer Inc.CupertinoCA100
Aramark Corp.PhiladelphiaPA14
AT&T Corp.New YorkNY86
AutoZone Inc.MemphisTN43
Avnet Inc.Great NeckNY43
Bank of America Corp.CharlotteNC86
Bank One Corp.ChicagoIL100
Baxter International Inc.DeerfieldIL64
Bethlehem Steel Corp.BethlehemPA29
Booz Allen Hamilton Inc.McLeanVA86
Bristol-Myers Squibb Co.New YorkNY71
Campbell Soup Co.CamdenNJ71
Cargill Inc.MinneapolisMN86
CaterpillarPeoriaIL57
Charles Schwab (The Charles Schwab Corp.)San FranciscoCA86
Chubb Corp.WarrenNJ86
HRC CORPORATE EQUALITY INDEX 2003  19
EMPLOYER NAME	CITY	STATE	HRC RATING
Goldman Sachs Investment Banking	New York	NY	86
H. E. Butt Grocery Co.	San Antonio	TX	43
H. J. Heinz Co.	Pittsburgh	PA	29
Hallmark Cards Inc.	Kansas City	MO	57
Harrah’s Entertainment Inc.	Las Vegas	NV	29
Hartford Financial Services Co.	Hartford	CT	86
Health Net Inc.	Woodland Hills	CA	57
Hewlett-Packard Co.	Palo Alto	CA	100
Hilton Hotels Corp.	Beverly Hills	CA	57
Home Depot	Atlanta	GA	57
Honeywell International Inc.	Morristown	NJ	86
Hormel Foods Corp.	Austin	MN	29
Host Marriott	Bethesda	MD	57
Humana Inc.	Louisville	KY	43
Hyatt Hotels Corp. (H Group Holding)	Chicago	IL	86
IBM (International Business Machines Corp.)	Armonk	NY	100
Illinois Tool Works Inc.	Glenview	IL	64
Intel Corp.	Santa Clara	CA	100
International Paper Co.	Purchase	NY	86
Interpublic Group of Companies Inc.	New York	NY	71
J.C. Penney Corp. Inc.	Plano	TX	57
J.P. Morgan Chase & Co.	New York	NY	100
John Hancock Financial Services Inc.	Boston	MA	86
Johnson & Johnson	New Brunswick	NJ	71
KB Home	Los Angeles	CA	43
Kellogg Co.	Battle Creek	MI	71
Kimberly-Clark	Dallas	TX	71
Kmart Corp.	Troy	MI	57
Kroger Co., The	Cincinnati	OH	57
Lear Corp.	Southfield	MI	29
Lehman Brothers Holdings	New York	NY	100
Levi Strauss & Co.	San Francisco	CA	100
Lexmark International Inc.	Lexington	KY	86
Limited Brands Inc.	Columbus	OH	86
Lincoln National Corp.	Philadelphia	PA	86
Liz Claiborne Inc.	New York	NY	57
Lockheed Martin Corp.	Bethesda	MD	71
Lucent Technologies Inc.	Murray Hill	NJ	100
Marriott International	Bethesda	MD	43
Marsh & McLennan	New York	NY	43
MassMutual Life Insurance	Springfield	MA	57
Mattel Inc.	El Segundo	CA	57
May Department Stores Co., The	St. Louis	MO	29
Maytag Corp.	North Newton	IA	29
MBNA Corp.	Wilmington	DE	57
McDonald’s Corp.	Oakbrook	IL	57
McGraw-Hill (The McGraw-Hill Companies Inc.)	New York	NY	86
McKinsey & Co. Inc.	New York	NY	86
MeadWestvaco Corp.	Stamford	CT	29
Meijer Inc.	Grand Rapids	MI	14
Mellon Financial Corp.	Pittsburgh	PA	86
MetLife (Metropolitan Life Insurance)	New York	NY	100
Microsoft Corp.	Redmond	WA	86
Morgan Stanley	New York	NY	86
Motorola Inc.	Schaumburg	IL	86
National Gypsum	Charlotte	NC	14
Nationwide	Columbus	OH	86
Navistar International	Warrenville	IL	57
NCR Corp.	Dayton	OH	100
New York Life Insurance Co.	New York	NY	29
New York Times Co.	New York	NY	86
Newell Rubbermaid Inc.	Freeport	IL	29
Nextel Communications	Reston	VA	57
Nike Inc.	Beaverton	OR	100
Nordstrom Inc.	Seattle	WA	86
Northeast Utilities System	Berlin	CT	71
Northrop Grumman Corp.	Los Angeles	CA	79
Northwest Airlines Corp.	Eagan	MN	71
Office Depot Inc.	Delray Beach	FL	43
Omnicom Group	New York	NY	43
Oracle Corp.	Redwood Shores	CA	71
Owens Corning	Toledo	OH	57
PacifiCare Health Systems	Santa Ana	CA	43
Pathmark Stores Inc.	Woodbridge	NJ	50
PepsiCo Inc.	Purchase	NY	71
Pfizer Inc.	New York	NY	86
PG&E Corp.	San Francisco	CA	100
Pitney Bowes Inc.	Stamford	CT	71
PNC Financial Services Group Inc.	Pittsburgh	PA	64
Polaroid Corp.	Cambridge	MA	86
PPG Industries	Pittsburgh	PA	71
PPL Corp.	Allentown	PA	57
PricewaterhouseCoopers	New York	NY	86
Principal Financial Group	Des Moines	IA	71
Procter & Gamble (The Procter & Gamble Co.)	Cincinnati	OH	86
Progressive (The Progressive Corp.)	Mayfield Village	OH	57
Providian Financial Corp.	San Francisco	CA	71
Prudential Financial Inc.	Newark	NJ	100
QUALCOMM Inc.	San Diego	CA	71
Quest Diagnostics	Teterboro	NJ	86
Qwest Communications International Inc.**	Englewood	CO	86
R.R. Donnelley & Sons	Chicago	IL	29
RadioShack Corp.	Fort Worth	TX	29
Raytheon Co.	Lexington	MA	86
Reebok International	Stoughton	MA	79
Rite Aid Corp.	Camp Hill	PA	29
RJ Reynolds Tobacco	Winston-Salem	NC	86
Rohm & Haas	Philadelphia	PA	29
Ryder System Inc.	Miami	FL	71
SAFECO Corp.	Seattle	WA	86
Safeway Inc.	Oakland	CA	57
Sara Lee Corp.	Chicago	IL	71
SBC Communications Inc.	San Antonio	TX	86
S.C. Johnson & Son Inc.	Racine	WI	100
Schering-Plough Corp.	Madison	NJ	86
Seagate Technology Inc.	Scotts Valley	CA	43
Sears, Roebuck and Co.	Hoffman Estates	IL	86
Sempra Energy	San Diego	CA	86
SLM Corp. (Sallie Mae)	Reston	VA	86
Software House International	Somerset	NJ	57
Southwest Airlines	Dallas	TX	43
Sprint Corp.	Overland Park	KS	29
St. Paul Companies	St. Paul	MN	86
Staples Inc.	Westborough	MA	29
Starbucks Corp.	Seattle	WA	86
Starwood Hotels & Resorts Worldwide	White Plains	NY	86
State Farm Group	Bloomington	IL	43
Sun Microsystems	Palo Alto	CA	86
SunTrust Banks Inc.	Atlanta	GA	71
Supervalu	Eden Prairie	MN	71
Target Corp.	Minneapolis	MN	86
Tech Data Corp.	Clearwater	FL	71
Texas Instruments Inc.	Dallas	TX	86
TIAA-CREF	New York	NY	29
Toys “R” Us Inc.	Framingham	MA	43
Unisys Corp.	Blue Bell	PA	86
United Airlines (UAL Corp.)	Elk Grove	IL	86
United Parcel Service (UPS)	Atlanta	GA	29
UnumProvident Corp.***	Portland	ME	79
US Airways Group	Arlington	VA	86
US Bancorp	Minneapolis	MN	86
Verizon Communications	New York	NY	86
Vertis	Baltimore	MD	43
Viacom Inc.	New York	NY	71
Visteon Corp.	Dearborn	MI	86
Wachovia Corp.	Charlotte	NC	86
Wal-Mart Stores Inc.	Bentonville	AR	43
Walgreen Co.	Deerfield	IL	86
Walt Disney Co.	Burbank	CA	86
Washington Mutual Savings Bank	Seattle	WA	86
Wellpoint Health Networks	Thousand Oaks	CA	86
Wells Fargo & Co.	San Francisco	CA	86
Whirlpool Corp.	Benton Harbor	MI	71
Williams Companies Inc.	Tulsa	OK	57
Wyeth	Madison	NJ	29
Xcel Energy	Minneapolis	MN	86
Abercrombie & Fitch Co.New AlbanyOH71
AccentureChicagoIL86
Advanced Digital Information Corp.RedmondWA29
Agouron PharmaceuticalsLa JollaCA57
ArhausColumbusOH57
Baldor Electric Co.Fort SmithAR29
Bausch & Lomb Inc.RochesterNY100
Bear Creek Corp.MedfordOR64
Biovail Pharmaceuticals Inc.MorrisvilleNC57
BP (formerly BP Amoco)ChicagoIL86
Cambridge Technology GroupCambridgeMA43
Cerner Corp.Kansas CityMO29
Cingular WirelessAtlantaGA86
Compass Group North AmericaCharlotteNC57
Credit Suisse First BostonNew YorkNY86
Daimler Chrysler Corp.Auburn HillsMI86
Deluxe Corp.ShoreviewMN71
Digitaria Interactive Inc.San DiegoCA57
Dow Jones & Co. Inc.New YorkNY43
EarthLink Inc.AtlantaGA86
Gallup Organization, ThePrincetonNJ57
GlaxoSmithKline Inc.Research Triangle ParkNC86
Harris Trust & Savings BankChicagoIL86
Hasbro Inc.PawtucketRI29
24HRC CORPORATE EQUALITY INDEX 2003
Lillian Vernon Corp.	New Rochelle	NY	71
Marimba Inc.	Mountain View	CA	57
Men’s Wearhouse Inc., The	Houston	TX	71
Miller Brewing Co.	Milwaukee	WI	86
Mitchell Gold Co.	Taylorsville	NC	10
Morningstar Inc.	Chicago	IL	29
Morrison & Foerster	San Francisco	CA	10
N. W. Ayer & Partners	New York	NY	43
Nestle Purina PetCare Co.	St. Louis	MO	29
Nims Associates Inc.	Decatur	IL	71
Northern Telecom Inc.	Nashville	TN	43
Northern Trust Corp.	Chicago	IL	86
Ortho-Neutrogena	Los Angeles	CA	43
PacifiCorp	Portland	OR	86
Pennzoil-Quaker State Co.	Houston	TX	43
Perkins & Will	Chicago	IL	71
Perot Systems Corp.	Dallas	TX	14
Prime Access Inc.	New York	NY	86
Quaker Oats Co.	Chicago	IL	57
Quantum Corp.	Milpitas	CA	71
Quark Inc.	Denver	CO	86
Replacements Ltd.	Greensboro	NC	10
Reuters America Holdings Inc.	New York	NY	57
Rockwell Collins	Pomona	CA	43
SAP America	Newton Square	PA	57
Scholastic Corp.	New York	NY	86
Scudder Kemper Investments	New York	NY	43
SGI (Silicon Graphics Inc.)	Mountain View	CA	86
Shaw Industries Inc.	Dalton	GA	14
Shell Oil Co.	Houston	TX	86
Siemens Energy & Automation Inc.	Alpharetta	GA	71
SRA International Inc.	Fairfax	VA	29
Subaru of America Inc.	Cherry Hill	NJ	86
TAP Pharmaceutical Products Inc.	Lake Forest	IL	57
Times Mirror Co.	Los Angeles	CA	57
Heller, Ehrman, White & McAuliffe	San Francisco	CA	86
Hewitt Associates	Lincolnshire	IL	86
Hoffmann-La Roche Inc.	Nutley	NJ	86
Howard & Howard Attorneys, PC	Bloomfield Hills	MI	50
Imation Corp.	Oakdale	MN	79
Instinet Group Inc.	New York	NY	57
Jenner & Block	Chicago	IL	86
Kaiser Permanente Foundation Health Plan Inc.	Oakland	CA	86
Keane Inc.	Boston	MA	71
Knight Ridder	San Jose	CA	71
KPMG LLP	Montvale	NJ	86
Kraft Foods Inc.	Northfield	IL	86
L.L. Bean Inc.	Freeport	ME	57
Latrobe Brewing Co.	Latrobe	PA	43
Lauren International	New Philadelphia	OH	29
